timestamp,price [€/MWh],cleared_volume [MW]
2024-06-14 22:00:00+00:00,110.0,2.75
2024-06-14 22:15:00+00:00,99.9,2.525
2024-06-14 22:30:00+00:00,83.1,3.725
2024-06-14 22:45:00+00:00,67.0,2.5
2024-06-14 23:00:00+00:00,107.0,4.525
2024-06-14 23:15:00+00:00,103.0,4.525
2024-06-14 23:30:00+00:00,53.5,3.75
2024-06-14 23:45:00+00:00,17.0,3.75
2024-06-15 00:00:00+00:00,144.0,6.475
2024-06-15 00:15:00+00:00,77.7,4.225
2024-06-15 00:30:00+00:00,3.0,1.075
2024-06-15 00:45:00+00:00,6.05,1.075
2024-06-15 01:00:00+00:00,28.21,0.7
2024-06-15 01:15:00+00:00,61.0,3.475
2024-06-15 01:30:00+00:00,-7.0,0.45
2024-06-15 01:45:00+00:00,-11.4,1.175
2024-06-15 02:00:00+00:00,46.0,2.5
2024-06-15 02:15:00+00:00,23.8,0.75
2024-06-15 02:30:00+00:00,-21.41,1.25
2024-06-15 02:45:00+00:00,-73.0,2.525
2024-06-15 03:00:00+00:00,30.48,8.25
2024-06-15 03:15:00+00:00,-12.9,2.5
2024-06-15 03:30:00+00:00,-58.0,1.725
2024-06-15 03:45:00+00:00,-72.0,3.9
2024-06-15 04:00:00+00:00,14.0,1.925
2024-06-15 04:15:00+00:00,-1.9,2.675
2024-06-15 04:30:00+00:00,1.49,3.55
2024-06-15 04:45:00+00:00,-18.05,4.225
2024-06-15 05:00:00+00:00,22.18,12.5
2024-06-15 05:15:00+00:00,0.15,1.225
2024-06-15 05:30:00+00:00,-2.09,5.325
2024-06-15 05:45:00+00:00,-19.84,9.325
2024-06-15 06:00:00+00:00,40.0,5.5
2024-06-15 06:15:00+00:00,15.07,5.0
2024-06-15 06:30:00+00:00,-7.13,5.0
2024-06-15 06:45:00+00:00,-39.9,2.575
2024-06-15 07:00:00+00:00,33.58,1.225
2024-06-15 07:15:00+00:00,-1.02,5.5
2024-06-15 07:30:00+00:00,-14.0,0.5
2024-06-15 07:45:00+00:00,-38.56,1.1
2024-06-15 08:00:00+00:00,42.84,9.275
2024-06-15 08:15:00+00:00,-1.01,0.8
2024-06-15 08:30:00+00:00,-15.73,3.0
2024-06-15 08:45:00+00:00,-60.49,6.25
2024-06-15 09:00:00+00:00,20.06,0.75
2024-06-15 09:15:00+00:00,-2.93,1.55
2024-06-15 09:30:00+00:00,-30.04,0.45
2024-06-15 09:45:00+00:00,-83.1,15.875
2024-06-15 10:00:00+00:00,-1.03,2.025
2024-06-15 10:15:00+00:00,-14.26,1.025
2024-06-15 10:30:00+00:00,-50.02,0.8
2024-06-15 10:45:00+00:00,-95.42,46.425
2024-06-15 11:00:00+00:00,-25.51,9.5
2024-06-15 11:15:00+00:00,-72.04,0.775
2024-06-15 11:30:00+00:00,-95.41,44.325
2024-06-15 11:45:00+00:00,-108.6,44.55
2024-06-15 12:00:00+00:00,-89.05,39.65
2024-06-15 12:15:00+00:00,-90.07,39.275
2024-06-15 12:30:00+00:00,-84.0,39.55
2024-06-15 12:45:00+00:00,-82.11,1.525
2024-06-15 13:00:00+00:00,-90.0,46.375
2024-06-15 13:15:00+00:00,-83.1,33.725
2024-06-15 13:30:00+00:00,-44.56,7.725
2024-06-15 13:45:00+00:00,-20.0,15.125
2024-06-15 14:00:00+00:00,-98.0,48.675
2024-06-15 14:15:00+00:00,-47.5,3.0
2024-06-15 14:30:00+00:00,-1.07,1.725
2024-06-15 14:45:00+00:00,51.0,2.0
2024-06-15 15:00:00+00:00,-101.35,48.6
2024-06-15 15:15:00+00:00,-27.11,1.525
2024-06-15 15:30:00+00:00,16.06,3.0
2024-06-15 15:45:00+00:00,89.93,1.75
2024-06-15 16:00:00+00:00,-108.57,48.825
2024-06-15 16:15:00+00:00,-19.96,8.25
2024-06-15 16:30:00+00:00,35.54,3.0
2024-06-15 16:45:00+00:00,94.75,1.25
2024-06-15 17:00:00+00:00,-56.6,7.975
2024-06-15 17:15:00+00:00,-1.0,2.5
2024-06-15 17:30:00+00:00,61.7,5.425
2024-06-15 17:45:00+00:00,114.8,0.0
2024-06-15 18:00:00+00:00,-15.0,0.65
2024-06-15 18:15:00+00:00,8.1,0.6
2024-06-15 18:30:00+00:00,38.4,1.75
2024-06-15 18:45:00+00:00,63.0,2.5
2024-06-15 19:00:00+00:00,15.0,0.75
2024-06-15 19:15:00+00:00,39.2,0.45
2024-06-15 19:30:00+00:00,29.79,1.05
2024-06-15 19:45:00+00:00,32.1,2.5
2024-06-15 20:00:00+00:00,72.0,2.025
2024-06-15 20:15:00+00:00,26.0,0.975
2024-06-15 20:30:00+00:00,75.0,2.5
2024-06-15 20:45:00+00:00,49.17,5.525
2024-06-15 21:00:00+00:00,65.94,1.725
2024-06-15 21:15:00+00:00,54.76,2.525
2024-06-15 21:30:00+00:00,35.86,2.025
2024-06-15 21:45:00+00:00,10.47,3.0
2024-06-15 22:00:00+00:00,66.0,4.15
2024-06-15 22:15:00+00:00,47.0,4.425
2024-06-15 22:30:00+00:00,15.0,4.15
2024-06-15 22:45:00+00:00,-3.9,4.3
2024-06-15 23:00:00+00:00,37.0,2.425
2024-06-15 23:15:00+00:00,31.0,1.825
2024-06-15 23:30:00+00:00,22.0,0.625
2024-06-15 23:45:00+00:00,-0.9,2.3
2024-06-16 00:00:00+00:00,15.0,20.0
2024-06-16 00:15:00+00:00,15.0,20.175
2024-06-16 00:30:00+00:00,-3.5,20.2
2024-06-16 00:45:00+00:00,-25.9,19.175
2024-06-16 01:00:00+00:00,3.68,25.0
2024-06-16 01:15:00+00:00,4.44,25.725
2024-06-16 01:30:00+00:00,5.0,30.725
2024-06-16 01:45:00+00:00,2.96,30.0
2024-06-16 02:00:00+00:00,5.1,7.325
2024-06-16 02:15:00+00:00,2.82,6.95
2024-06-16 02:30:00+00:00,2.41,7.05
2024-06-16 02:45:00+00:00,7.67,7.675
2024-06-16 03:00:00+00:00,17.1,8.875
2024-06-16 03:15:00+00:00,-0.6,8.3
2024-06-16 03:30:00+00:00,-2.45,8.725
2024-06-16 03:45:00+00:00,-8.45,8.375
2024-06-16 04:00:00+00:00,20.0,5.9
2024-06-16 04:15:00+00:00,-2.0,9.075
2024-06-16 04:30:00+00:00,-1.0,5.325
2024-06-16 04:45:00+00:00,-1.0,7.375
2024-06-16 05:00:00+00:00,56.0,12.925
2024-06-16 05:15:00+00:00,17.77,6.7
2024-06-16 05:30:00+00:00,-12.67,7.4
2024-06-16 05:45:00+00:00,-49.9,6.7
2024-06-16 06:00:00+00:00,79.25,7.525
2024-06-16 06:15:00+00:00,14.57,5.0
2024-06-16 06:30:00+00:00,-10.72,5.0
2024-06-16 06:45:00+00:00,-83.1,22.75
2024-06-16 07:00:00+00:00,45.36,8.475
2024-06-16 07:15:00+00:00,-0.8,6.0
2024-06-16 07:30:00+00:00,-11.46,7.5
2024-06-16 07:45:00+00:00,-49.1,7.5
2024-06-16 08:00:00+00:00,18.27,6.975
2024-06-16 08:15:00+00:00,-0.58,7.5
2024-06-16 08:30:00+00:00,-8.91,10.0
2024-06-16 08:45:00+00:00,-38.03,8.0
2024-06-16 09:00:00+00:00,6.61,7.5
2024-06-16 09:15:00+00:00,-0.58,7.5
2024-06-16 09:30:00+00:00,-9.73,10.0
2024-06-16 09:45:00+00:00,-36.3,10.0
2024-06-16 10:00:00+00:00,12.98,15.7
2024-06-16 10:15:00+00:00,-1.57,15.975
2024-06-16 10:30:00+00:00,-32.0,15.475
2024-06-16 10:45:00+00:00,-49.41,15.0
2024-06-16 11:00:00+00:00,-17.17,15.925
2024-06-16 11:15:00+00:00,-26.43,15.725
2024-06-16 11:30:00+00:00,-29.97,20.775
2024-06-16 11:45:00+00:00,-30.03,20.0
2024-06-16 12:00:00+00:00,-60.42,15.0
2024-06-16 12:15:00+00:00,-33.89,15.55
2024-06-16 12:30:00+00:00,-26.09,15.0
2024-06-16 12:45:00+00:00,-10.0,15.5
2024-06-16 13:00:00+00:00,-83.1,20.1
2024-06-16 13:15:00+00:00,-30.86,15.0
2024-06-16 13:30:00+00:00,-0.6,15.0
2024-06-16 13:45:00+00:00,27.3,11.2
2024-06-16 14:00:00+00:00,-90.42,39.8
2024-06-16 14:15:00+00:00,-22.78,9.65
2024-06-16 14:30:00+00:00,0.89,8.875
2024-06-16 14:45:00+00:00,64.31,8.35
2024-06-16 15:00:00+00:00,-151.12,44.1
2024-06-16 15:15:00+00:00,-24.12,36.325
2024-06-16 15:30:00+00:00,36.92,39.325
2024-06-16 15:45:00+00:00,168.68,46.575
2024-06-16 16:00:00+00:00,-26.0,0.75
2024-06-16 16:15:00+00:00,-7.0,1.175
2024-06-16 16:30:00+00:00,59.0,1.5
2024-06-16 16:45:00+00:00,77.1,1.175
2024-06-16 17:00:00+00:00,-32.6,6.25
2024-06-16 17:15:00+00:00,46.3,1.3
2024-06-16 17:30:00+00:00,84.56,1.25
2024-06-16 17:45:00+00:00,116.0,1.125
2024-06-16 18:00:00+00:00,-32.0,6.25
2024-06-16 18:15:00+00:00,65.69,1.325
2024-06-16 18:30:00+00:00,101.1,0.75
2024-06-16 18:45:00+00:00,130.0,0.75
2024-06-16 19:00:00+00:00,77.89,2.025
2024-06-16 19:15:00+00:00,84.0,1.55
2024-06-16 19:30:00+00:00,86.0,0.725
2024-06-16 19:45:00+00:00,88.0,0.875
2024-06-16 20:00:00+00:00,97.0,1.625
2024-06-16 20:15:00+00:00,80.29,0.75
2024-06-16 20:30:00+00:00,92.0,0.725
2024-06-16 20:45:00+00:00,81.11,1.275
2024-06-16 21:00:00+00:00,75.19,1.25
2024-06-16 21:15:00+00:00,58.0,0.75
2024-06-16 21:30:00+00:00,75.0,0.625
2024-06-16 21:45:00+00:00,78.1,3.0
2024-06-16 22:00:00+00:00,81.0,0.975
2024-06-16 22:15:00+00:00,80.0,0.75
2024-06-16 22:30:00+00:00,39.0,0.525
2024-06-16 22:45:00+00:00,24.7,0.875
2024-06-16 23:00:00+00:00,34.0,1.25
2024-06-16 23:15:00+00:00,32.3,0.75
2024-06-16 23:30:00+00:00,48.0,0.55
2024-06-16 23:45:00+00:00,46.0,2.15
2024-06-17 00:00:00+00:00,44.19,1.25
2024-06-17 00:15:00+00:00,16.14,0.75
2024-06-17 00:30:00+00:00,28.0,1.35
2024-06-17 00:45:00+00:00,44.21,0.75
2024-06-17 01:00:00+00:00,47.29,1.55
2024-06-17 01:15:00+00:00,47.29,0.2
2024-06-17 01:30:00+00:00,47.31,0.75
2024-06-17 01:45:00+00:00,53.0,0.225
2024-06-17 02:00:00+00:00,39.79,0.925
2024-06-17 02:15:00+00:00,39.8,1.025
2024-06-17 02:30:00+00:00,54.0,0.425
2024-06-17 02:45:00+00:00,56.0,0.9
2024-06-17 03:00:00+00:00,16.1,1.075
2024-06-17 03:15:00+00:00,55.0,0.75
2024-06-17 03:30:00+00:00,55.81,0.75
2024-06-17 03:45:00+00:00,79.0,0.925
2024-06-17 04:00:00+00:00,53.0,1.45
2024-06-17 04:15:00+00:00,59.8,1.025
2024-06-17 04:30:00+00:00,99.0,1.05
2024-06-17 04:45:00+00:00,80.0,1.4
2024-06-17 05:00:00+00:00,106.0,6.275
2024-06-17 05:15:00+00:00,99.0,6.275
2024-06-17 05:30:00+00:00,95.45,6.775
2024-06-17 05:45:00+00:00,71.0,6.95
2024-06-17 06:00:00+00:00,120.7,7.5
2024-06-17 06:15:00+00:00,135.0,8.75
2024-06-17 06:30:00+00:00,110.0,8.75
2024-06-17 06:45:00+00:00,80.0,8.25
2024-06-17 07:00:00+00:00,112.0,8.325
2024-06-17 07:15:00+00:00,72.0,8.325
2024-06-17 07:30:00+00:00,67.0,7.5
2024-06-17 07:45:00+00:00,30.0,10.0
2024-06-17 08:00:00+00:00,115.0,8.7
2024-06-17 08:15:00+00:00,97.0,7.675
2024-06-17 08:30:00+00:00,30.0,8.0
2024-06-17 08:45:00+00:00,26.0,8.225
2024-06-17 09:00:00+00:00,58.0,13.75
2024-06-17 09:15:00+00:00,50.0,13.45
2024-06-17 09:30:00+00:00,17.62,13.25
2024-06-17 09:45:00+00:00,11.0,13.375
2024-06-17 10:00:00+00:00,44.38,13.375
2024-06-17 10:15:00+00:00,23.0,12.825
2024-06-17 10:30:00+00:00,24.42,13.25
2024-06-17 10:45:00+00:00,-7.4,12.625
2024-06-17 11:00:00+00:00,43.0,14.675
2024-06-17 11:15:00+00:00,36.0,15.05
2024-06-17 11:30:00+00:00,20.1,14.175
2024-06-17 11:45:00+00:00,25.1,15.125
2024-06-17 12:00:00+00:00,24.0,13.75
2024-06-17 12:15:00+00:00,31.0,13.25
2024-06-17 12:30:00+00:00,53.58,13.25
2024-06-17 12:45:00+00:00,59.0,13.325
2024-06-17 13:00:00+00:00,-3.9,12.85
2024-06-17 13:15:00+00:00,31.0,13.95
2024-06-17 13:30:00+00:00,42.1,13.775
2024-06-17 13:45:00+00:00,70.0,14.3
2024-06-17 14:00:00+00:00,-18.9,12.65
2024-06-17 14:15:00+00:00,26.7,13.75
2024-06-17 14:30:00+00:00,62.2,13.25
2024-06-17 14:45:00+00:00,70.0,14.425
2024-06-17 15:00:00+00:00,-54.9,0.675
2024-06-17 15:15:00+00:00,30.0,1.5
2024-06-17 15:30:00+00:00,112.7,0.75
2024-06-17 15:45:00+00:00,115.01,0.75
2024-06-17 16:00:00+00:00,67.0,16.05
2024-06-17 16:15:00+00:00,98.56,8.325
2024-06-17 16:30:00+00:00,110.2,8.0
2024-06-17 16:45:00+00:00,80.1,13.85
2024-06-17 17:00:00+00:00,76.0,11.85
2024-06-17 17:15:00+00:00,105.1,11.05
2024-06-17 17:30:00+00:00,170.0,11.225
2024-06-17 17:45:00+00:00,199.0,10.55
2024-06-17 18:00:00+00:00,70.0,4.075
2024-06-17 18:15:00+00:00,149.0,3.15
2024-06-17 18:30:00+00:00,174.05,2.8
2024-06-17 18:45:00+00:00,202.0,2.8
2024-06-17 19:00:00+00:00,161.0,3.5
2024-06-17 19:15:00+00:00,134.0,2.425
2024-06-17 19:30:00+00:00,131.0,2.425
2024-06-17 19:45:00+00:00,125.0,2.425
2024-06-17 20:00:00+00:00,139.0,0.025
2024-06-17 20:15:00+00:00,91.0,0.975
2024-06-17 20:30:00+00:00,111.0,0.45
2024-06-17 20:45:00+00:00,67.0,0.775
2024-06-17 21:00:00+00:00,133.0,1.05
2024-06-17 21:15:00+00:00,96.0,1.6
2024-06-17 21:30:00+00:00,82.0,0.75
2024-06-17 21:45:00+00:00,80.0,1.0
2024-06-17 22:00:00+00:00,56.8,11.7
2024-06-17 22:15:00+00:00,100.0,1.85
2024-06-17 22:30:00+00:00,105.5,10.525
2024-06-17 22:45:00+00:00,105.5,13.55
2024-06-17 23:00:00+00:00,89.0,0.95
2024-06-17 23:15:00+00:00,89.0,0.8
2024-06-17 23:30:00+00:00,70.0,1.0
2024-06-17 23:45:00+00:00,45.0,0.725
2024-06-18 00:00:00+00:00,97.0,0.925
2024-06-18 00:15:00+00:00,79.0,0.575
2024-06-18 00:30:00+00:00,71.0,1.6
2024-06-18 00:45:00+00:00,45.0,0.575
2024-06-18 01:00:00+00:00,91.25,3.3
2024-06-18 01:15:00+00:00,86.0,3.3
2024-06-18 01:30:00+00:00,82.0,3.575
2024-06-18 01:45:00+00:00,62.0,3.5
2024-06-18 02:00:00+00:00,82.0,0.25
2024-06-18 02:15:00+00:00,88.0,0.25
2024-06-18 02:30:00+00:00,88.0,0.25
2024-06-18 02:45:00+00:00,91.0,0.625
2024-06-18 03:00:00+00:00,49.0,1.0
2024-06-18 03:15:00+00:00,89.0,0.275
2024-06-18 03:30:00+00:00,99.0,0.25
2024-06-18 03:45:00+00:00,112.0,0.75
2024-06-18 04:00:00+00:00,96.0,1.025
2024-06-18 04:15:00+00:00,104.0,0.75
2024-06-18 04:30:00+00:00,99.0,1.0
2024-06-18 04:45:00+00:00,100.8,1.9
2024-06-18 05:00:00+00:00,125.0,0.5
2024-06-18 05:15:00+00:00,95.0,0.5
2024-06-18 05:30:00+00:00,89.0,2.5
2024-06-18 05:45:00+00:00,77.0,2.0
2024-06-18 06:00:00+00:00,113.0,2.8
2024-06-18 06:15:00+00:00,99.0,2.8
2024-06-18 06:30:00+00:00,70.0,3.475
2024-06-18 06:45:00+00:00,34.51,5.5
2024-06-18 07:00:00+00:00,112.0,0.475
2024-06-18 07:15:00+00:00,103.0,1.25
2024-06-18 07:30:00+00:00,68.0,1.9
2024-06-18 07:45:00+00:00,22.1,2.75
2024-06-18 08:00:00+00:00,104.0,12.5
2024-06-18 08:15:00+00:00,102.8,12.6
2024-06-18 08:30:00+00:00,70.0,13.7
2024-06-18 08:45:00+00:00,74.0,13.15
2024-06-18 09:00:00+00:00,86.0,12.5
2024-06-18 09:15:00+00:00,88.0,13.275
2024-06-18 09:30:00+00:00,65.8,13.5
2024-06-18 09:45:00+00:00,71.8,13.2
2024-06-18 10:00:00+00:00,82.3,12.625
2024-06-18 10:15:00+00:00,82.0,12.5
2024-06-18 10:30:00+00:00,81.0,12.5
2024-06-18 10:45:00+00:00,68.0,14.85
2024-06-18 11:00:00+00:00,94.0,13.4
2024-06-18 11:15:00+00:00,101.2,13.075
2024-06-18 11:30:00+00:00,90.0,12.85
2024-06-18 11:45:00+00:00,86.0,13.3
2024-06-18 12:00:00+00:00,104.0,14.075
2024-06-18 12:15:00+00:00,106.0,12.55
2024-06-18 12:30:00+00:00,101.95,12.5
2024-06-18 12:45:00+00:00,96.0,12.925
2024-06-18 13:00:00+00:00,98.21,13.175
2024-06-18 13:15:00+00:00,99.6,13.35
2024-06-18 13:30:00+00:00,102.0,14.0
2024-06-18 13:45:00+00:00,102.2,15.8
2024-06-18 14:00:00+00:00,133.1,12.425
2024-06-18 14:15:00+00:00,92.0,8.325
2024-06-18 14:30:00+00:00,92.8,6.475
2024-06-18 14:45:00+00:00,71.7,9.825
2024-06-18 15:00:00+00:00,101.0,26.25
2024-06-18 15:15:00+00:00,102.0,10.5
2024-06-18 15:30:00+00:00,82.0,5.825
2024-06-18 15:45:00+00:00,68.6,13.35
2024-06-18 16:00:00+00:00,69.06,2.525
2024-06-18 16:15:00+00:00,92.0,3.1
2024-06-18 16:30:00+00:00,112.0,3.2
2024-06-18 16:45:00+00:00,136.0,2.575
2024-06-18 17:00:00+00:00,110.0,3.25
2024-06-18 17:15:00+00:00,116.0,2.75
2024-06-18 17:30:00+00:00,146.0,1.25
2024-06-18 17:45:00+00:00,152.0,2.675
2024-06-18 18:00:00+00:00,118.0,3.175
2024-06-18 18:15:00+00:00,136.0,1.875
2024-06-18 18:30:00+00:00,140.0,2.725
2024-06-18 18:45:00+00:00,142.0,2.25
2024-06-18 19:00:00+00:00,137.0,2.8
2024-06-18 19:15:00+00:00,111.0,1.525
2024-06-18 19:30:00+00:00,88.0,1.125
2024-06-18 19:45:00+00:00,88.0,1.125
2024-06-18 20:00:00+00:00,113.0,3.25
2024-06-18 20:15:00+00:00,92.0,3.65
2024-06-18 20:30:00+00:00,95.23,3.525
2024-06-18 20:45:00+00:00,81.0,2.5
2024-06-18 21:00:00+00:00,57.5,11.825
2024-06-18 21:15:00+00:00,78.8,6.125
2024-06-18 21:30:00+00:00,83.98,26.5
2024-06-18 21:45:00+00:00,69.06,26.5
2024-06-18 22:00:00+00:00,113.79,6.925
2024-06-18 22:15:00+00:00,97.94,5.325
2024-06-18 22:30:00+00:00,95.07,4.0
2024-06-18 22:45:00+00:00,94.95,14.2
2024-06-18 23:00:00+00:00,120.0,3.325
2024-06-18 23:15:00+00:00,92.0,0.7
2024-06-18 23:30:00+00:00,69.8,2.5
2024-06-18 23:45:00+00:00,43.0,2.5
2024-06-19 00:00:00+00:00,76.0,14.475
2024-06-19 00:15:00+00:00,76.0,5.0
2024-06-19 00:30:00+00:00,70.0,3.85
2024-06-19 00:45:00+00:00,66.79,0.5
2024-06-19 01:00:00+00:00,87.5,0.75
2024-06-19 01:15:00+00:00,84.0,0.75
2024-06-19 01:30:00+00:00,43.5,1.225
2024-06-19 01:45:00+00:00,35.39,1.75
2024-06-19 02:00:00+00:00,81.0,0.75
2024-06-19 02:15:00+00:00,73.0,0.5
2024-06-19 02:30:00+00:00,72.0,0.6
2024-06-19 02:45:00+00:00,75.1,0.75
2024-06-19 03:00:00+00:00,79.0,1.3
2024-06-19 03:15:00+00:00,80.0,0.75
2024-06-19 03:30:00+00:00,63.0,0.075
2024-06-19 03:45:00+00:00,75.0,3.55
2024-06-19 04:00:00+00:00,73.0,5.5
2024-06-19 04:15:00+00:00,87.0,1.3
2024-06-19 04:30:00+00:00,88.0,1.7
2024-06-19 04:45:00+00:00,84.39,1.5
2024-06-19 05:00:00+00:00,117.0,3.55
2024-06-19 05:15:00+00:00,105.0,2.5
2024-06-19 05:30:00+00:00,116.05,11.75
2024-06-19 05:45:00+00:00,95.0,12.3
2024-06-19 06:00:00+00:00,114.0,5.05
2024-06-19 06:15:00+00:00,88.16,5.0
2024-06-19 06:30:00+00:00,86.14,7.5
2024-06-19 06:45:00+00:00,78.9,8.0
2024-06-19 07:00:00+00:00,78.9,12.875
2024-06-19 07:15:00+00:00,78.9,10.925
2024-06-19 07:30:00+00:00,70.0,8.45
2024-06-19 07:45:00+00:00,40.0,11.425
2024-06-19 08:00:00+00:00,104.91,7.5
2024-06-19 08:15:00+00:00,82.41,8.0
2024-06-19 08:30:00+00:00,79.93,10.5
2024-06-19 08:45:00+00:00,66.98,18.0
2024-06-19 09:00:00+00:00,94.94,10.0
2024-06-19 09:15:00+00:00,90.0,10.0
2024-06-19 09:30:00+00:00,75.5,10.0
2024-06-19 09:45:00+00:00,50.9,10.0
2024-06-19 10:00:00+00:00,83.8,11.925
2024-06-19 10:15:00+00:00,63.0,10.0
2024-06-19 10:30:00+00:00,52.0,10.4
2024-06-19 10:45:00+00:00,36.0,11.3
2024-06-19 11:00:00+00:00,63.0,12.2
2024-06-19 11:15:00+00:00,48.0,10.45
2024-06-19 11:30:00+00:00,32.0,10.0
2024-06-19 11:45:00+00:00,14.85,13.0
2024-06-19 12:00:00+00:00,42.27,12.5
2024-06-19 12:15:00+00:00,40.21,10.0
2024-06-19 12:30:00+00:00,31.46,8.5
2024-06-19 12:45:00+00:00,23.87,8.8
2024-06-19 13:00:00+00:00,4.0,12.5
2024-06-19 13:15:00+00:00,9.24,13.775
2024-06-19 13:30:00+00:00,17.0,13.6
2024-06-19 13:45:00+00:00,34.0,14.5
2024-06-19 14:00:00+00:00,-24.0,8.925
2024-06-19 14:15:00+00:00,-3.59,8.0
2024-06-19 14:30:00+00:00,51.0,6.925
2024-06-19 14:45:00+00:00,66.19,10.0
2024-06-19 15:00:00+00:00,-37.0,7.6
2024-06-19 15:15:00+00:00,26.4,8.35
2024-06-19 15:30:00+00:00,86.0,8.675
2024-06-19 15:45:00+00:00,121.5,10.25
2024-06-19 16:00:00+00:00,-44.9,6.625
2024-06-19 16:15:00+00:00,21.1,6.875
2024-06-19 16:30:00+00:00,105.3,8.25
2024-06-19 16:45:00+00:00,130.0,7.325
2024-06-19 17:00:00+00:00,28.0,10.0
2024-06-19 17:15:00+00:00,55.0,7.5
2024-06-19 17:30:00+00:00,125.0,8.0
2024-06-19 17:45:00+00:00,152.8,7.75
2024-06-19 18:00:00+00:00,75.75,6.5
2024-06-19 18:15:00+00:00,105.0,1.5
2024-06-19 18:30:00+00:00,145.0,2.5
2024-06-19 18:45:00+00:00,162.0,3.25
2024-06-19 19:00:00+00:00,120.0,2.5
2024-06-19 19:15:00+00:00,110.0,1.225
2024-06-19 19:30:00+00:00,110.0,1.375
2024-06-19 19:45:00+00:00,87.0,5.0
2024-06-19 20:00:00+00:00,144.93,7.925
2024-06-19 20:15:00+00:00,114.92,6.7
2024-06-19 20:30:00+00:00,100.13,3.425
2024-06-19 20:45:00+00:00,91.4,9.775
2024-06-19 21:00:00+00:00,122.09,6.125
2024-06-19 21:15:00+00:00,100.0,5.0
2024-06-19 21:30:00+00:00,83.31,6.7
2024-06-19 21:45:00+00:00,76.0,18.025
2024-06-19 22:00:00+00:00,90.47,3.05
2024-06-19 22:15:00+00:00,91.0,4.3
2024-06-19 22:30:00+00:00,76.2,0.05
2024-06-19 22:45:00+00:00,62.0,3.75
2024-06-19 23:00:00+00:00,83.08,3.025
2024-06-19 23:15:00+00:00,74.62,5.0
2024-06-19 23:30:00+00:00,68.94,0.025
2024-06-19 23:45:00+00:00,66.37,5.025
2024-06-20 00:00:00+00:00,80.0,3.075
2024-06-20 00:15:00+00:00,67.6,0.0
2024-06-20 00:30:00+00:00,55.0,0.0
2024-06-20 00:45:00+00:00,49.0,0.25
2024-06-20 01:00:00+00:00,60.89,0.0
2024-06-20 01:15:00+00:00,61.0,0.225
2024-06-20 01:30:00+00:00,54.0,0.25
2024-06-20 01:45:00+00:00,51.0,0.5
2024-06-20 02:00:00+00:00,51.0,0.775
2024-06-20 02:15:00+00:00,59.0,0.4
2024-06-20 02:30:00+00:00,63.0,0.075
2024-06-20 02:45:00+00:00,68.0,0.225
2024-06-20 03:00:00+00:00,29.0,0.5
2024-06-20 03:15:00+00:00,65.0,0.075
2024-06-20 03:30:00+00:00,85.0,0.2
2024-06-20 03:45:00+00:00,101.0,1.925
2024-06-20 04:00:00+00:00,69.0,14.75
2024-06-20 04:15:00+00:00,58.94,19.35
2024-06-20 04:30:00+00:00,71.0,18.8
2024-06-20 04:45:00+00:00,78.0,15.0
2024-06-20 05:00:00+00:00,122.26,8.75
2024-06-20 05:15:00+00:00,102.0,10.725
2024-06-20 05:30:00+00:00,115.93,15.0
2024-06-20 05:45:00+00:00,97.77,9.925
2024-06-20 06:00:00+00:00,172.9,8.75
2024-06-20 06:15:00+00:00,108.47,8.75
2024-06-20 06:30:00+00:00,79.05,10.75
2024-06-20 06:45:00+00:00,51.58,11.25
2024-06-20 07:00:00+00:00,117.45,9.25
2024-06-20 07:15:00+00:00,82.79,9.75
2024-06-20 07:30:00+00:00,77.44,8.75
2024-06-20 07:45:00+00:00,57.92,9.75
2024-06-20 08:00:00+00:00,97.41,9.25
2024-06-20 08:15:00+00:00,75.27,9.25
2024-06-20 08:30:00+00:00,67.86,8.75
2024-06-20 08:45:00+00:00,49.46,11.25
2024-06-20 09:00:00+00:00,79.0,9.325
2024-06-20 09:15:00+00:00,65.29,8.75
2024-06-20 09:30:00+00:00,50.77,10.575
2024-06-20 09:45:00+00:00,44.53,8.75
2024-06-20 10:00:00+00:00,70.94,9.25
2024-06-20 10:15:00+00:00,60.43,9.1
2024-06-20 10:30:00+00:00,57.51,10.0
2024-06-20 10:45:00+00:00,54.09,13.725
2024-06-20 11:00:00+00:00,60.53,12.2
2024-06-20 11:15:00+00:00,60.07,9.1
2024-06-20 11:30:00+00:00,60.0,9.875
2024-06-20 11:45:00+00:00,55.0,10.425
2024-06-20 12:00:00+00:00,36.4,9.75
2024-06-20 12:15:00+00:00,56.69,10.75
2024-06-20 12:30:00+00:00,65.0,9.425
2024-06-20 12:45:00+00:00,83.34,11.25
2024-06-20 13:00:00+00:00,41.27,12.75
2024-06-20 13:15:00+00:00,70.0,9.325
2024-06-20 13:30:00+00:00,68.75,6.25
2024-06-20 13:45:00+00:00,87.7,11.25
2024-06-20 14:00:00+00:00,57.99,6.75
2024-06-20 14:15:00+00:00,78.47,7.75
2024-06-20 14:30:00+00:00,74.0,1.25
2024-06-20 14:45:00+00:00,90.0,2.825
2024-06-20 15:00:00+00:00,5.0,9.45
2024-06-20 15:15:00+00:00,48.0,0.975
2024-06-20 15:30:00+00:00,90.0,4.725
2024-06-20 15:45:00+00:00,90.83,15.975
2024-06-20 16:00:00+00:00,88.73,30.8
2024-06-20 16:15:00+00:00,80.47,14.5
2024-06-20 16:30:00+00:00,80.8,10.675
